Renewables 10/30/2023undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,-48,-48,-48,-49,-48,-48,-49,-49,-49,-49,-49,-50,-49,-48,-48,-48,-48,-49,-49,-48,-48,-48,-48,-48,-49,-47,-47,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-45,-46,-46,-46,-45,-46,-46,-46,-45,-46,-46,-45,-46,-46,-46,-46,-47,-47,-47,-46,-46,-46,-46,-47,-46,-45,-47,-48,-46,-48,-48,-48,-48,-47,-49,-48,-49,-48,-47,-48,-48,-48,-48,-47,-43,-34,-8,45,138,289,507,817,1203,1668,2202,2703,3144,3772,4533,5091,5732,6425,7125,7880,8708,9509,10281,10778,11141,11691,12327,12736,13051,13299,13457,13561,13533,13662,13882,13976,14087,14091,14361,14460,14529,14550,14510,14462,14405,14457,14408,14380,14434,14448,14400,14355,14335,14315,14303,14277,14265,14260,14315,14327,14306,14292,14303,14285,14236,14242,14272,14309,14282,14256,14302,14320,14313,14312,14353,14371,14362,14373,14386,14373,14328,14343,14375,14364,14308,14289,14404,14279,14437,14322,14279,14233,14087,13625,13294,13130,13089,13193,12915,12649,12680,12777,12717,12749,12653,12540,12592,12650,12523,12364,12236,12282,12125,11830,11386,10614,10097,9431,8652,7954,7195,6294,5450,4577,3868,3184,2536,1894,1431,983,715,471,308,165,63,32,22,-2,-28,-27,-40,-61,-60,-58,-57,-56,-54,-55,-54,-54,-54,-53,-53,-53,-54,-53,-53,-52,-51,-51,-51,-51,-51,-51,-51,-51,-51,-50,-50,-50,-49,-49,-51,-50,-50,-51,-50,-51,-50,-49,-49,-49,-48,-48,-49,-51,-50,-50,-50,-51,-51,-50,-50,-50,-51,-52,-52,-51,-52,-52,-51,-52,-52,-51,-51
Wind,945,936,935,943,962,971,968,983,976,946,951,965,941,946,961,957,967,976,975,968,971,981,997,1006,1013,1008,995,979,965,973,976,980,1015,1031,1031,1033,1043,1066,1063,1050,1041,1042,1051,1052,1042,1028,1023,1019,1002,1000,995,977,958,951,962,972,989,1005,1017,1030,1042,1057,1061,1049,1037,1043,1058,1056,1058,1058,1061,1076,1081,1073,1070,1059,1054,1057,1054,1081,1095,1102,1102,1106,1106,1096,1096,1095,1095,1087,1078,1064,1066,1056,1057,1047,1039,1039,1037,1026,1019,1016,1001,995,990,1007,1002,1006,1028,1041,1057,1073,1084,1098,1100,1099,1100,1096,1105,1100,1088,1083,1062,1058,1076,1090,1097,1109,1108,1105,1100,1099,1108,1115,1117,1122,1140,1132,1147,1149,1142,1154,1139,1169,1169,1193,1217,1232,1254,1255,1283,1288,1280,1279,1281,1305,1277,1227,1236,1235,1257,1264,1268,1259,1241,1240,1221,1231,1232,1242,1234,1234,1220,1220,1200,1174,1148,1119,1115,1101,1107,1084,1031,993,1017,1018,1047,1044,1060,1064,1052,1062,1057,1053,1039,1029,1019,1022,1005,993,972,971,977,976,954,940,921,919,919,919,895,882,883,890,880,879,902,922,927,955,974,979,977,961,947,942,920,932,951,947,933,923,919,918,924,939,948,952,962,975,996,994,988,1009,1020,1024,1023,1011,988,978,964,950,940,919,899,884,868,872,878,896,900,902,904,896,894,888,876,873,874,876,888,896,903,924,928,923,919,914,904,890,883,854,846,838,829,815,815,827
Geothermal,792,792,792,792,793,792,793,793,793,793,793,793,793,794,793,793,794,794,794,793,793,793,793,793,794,794,794,794,794,793,793,794,793,794,793,793,793,794,795,795,795,795,795,795,795,795,794,794,794,795,795,795,794,794,794,794,794,794,794,795,795,796,795,793,796,795,795,796,795,796,795,796,796,796,795,795,793,796,795,795,796,795,794,795,795,796,796,796,796,795,795,795,794,795,795,794,794,794,794,794,794,792,793,793,793,792,791,791,791,791,790,789,789,790,788,788,788,787,787,787,787,787,787,787,787,787,787,787,786,786,786,785,786,786,786,785,784,784,784,784,785,785,784,784,784,784,784,784,784,784,784,783,783,783,783,783,782,782,781,782,782,782,781,782,781,781,781,781,781,781,781,781,780,780,780,780,780,780,779,780,781,781,781,781,781,780,781,780,780,780,780,780,780,780,781,782,781,782,782,782,782,781,781,782,782,782,782,782,782,782,782,783,782,783,783,783,783,784,785,785,785,784,786,787,786,787,788,788,787,787,788,788,789,788,788,789,789,789,789,789,788,789,790,789,789,789,789,789,790,789,788,789,789,789,790,789,789,788,789,789,786,749,727,717,728,729,731,734,735,734,735,734,735,734,735,734,734,735,737,737,737,736,736,737,737,737,738,738
Biomass,145,145,144,145,145,144,145,146,146,146,146,146,147,147,143,144,146,146,146,146,143,142,143,145,146,147,147,147,147,147,148,149,149,147,145,145,145,146,146,145,145,146,146,147,147,146,146,146,146,144,144,145,145,144,145,146,146,146,145,144,142,141,141,140,136,138,139,138,138,137,135,135,135,137,136,135,134,132,131,131,131,133,133,133,134,135,136,136,135,133,133,133,132,132,134,132,133,135,136,135,133,133,132,132,133,134,135,135,135,137,140,141,141,144,141,141,140,140,140,140,139,141,143,145,148,147,147,150,149,147,148,145,145,144,145,145,145,146,146,143,140,138,138,140,137,137,137,138,137,137,138,140,141,140,140,140,138,139,140,140,139,137,138,140,138,137,139,139,137,138,139,140,139,139,139,137,137,140,140,139,140,141,142,142,142,142,143,144,142,142,142,140,142,144,145,146,147,149,150,149,149,150,148,149,147,145,142,138,134,129,124,123,122,124,125,125,125,124,125,123,124,124,127,127,125,125,126,125,124,124,124,124,124,122,123,120,121,122,122,125,123,124,123,122,122,123,123,124,125,127,127,127,126,125,126,126,126,126,123,127,129,129,129,127,129,128,128,127,127,127,123,122,122,121,122,121,121,121,121,121,120,121,122,123,122,120,122,123
Biogas,181,180,180,180,180,180,180,180,180,180,180,180,180,181,181,181,181,181,181,181,181,181,181,182,182,182,182,182,182,182,181,181,182,182,182,182,181,181,181,181,181,181,181,181,181,178,177,177,177,177,177,177,177,176,176,177,177,177,177,177,176,176,176,176,176,176,176,176,176,176,176,176,176,176,175,175,175,176,175,175,175,176,176,176,177,177,177,176,177,176,176,176,176,176,175,175,175,175,175,175,175,175,175,176,176,176,176,176,176,176,175,176,175,176,176,176,176,176,176,176,176,176,174,172,172,173,174,174,173,173,173,173,172,172,172,171,170,169,168,169,169,170,171,173,174,173,173,172,173,173,173,175,174,175,174,172,172,173,173,173,174,175,175,176,176,178,180,176,176,176,176,176,176,177,176,176,176,177,177,177,177,176,176,176,176,176,176,175,175,176,176,176,176,176,176,175,176,176,177,177,176,177,177,177,177,177,176,176,176,176,177,177,177,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,177,179,178,179,179,180,179,179,179,179,179,178,179,179,178,178,178,179,179,179,179,180,180,180,180,180,179,179,179,179,179,179,180,179,179,179,179,180,179,180,179,180,180,179,180,179,179,180,180,179,179,179,179,178,177,178,178,179,179
Small hydro,208,208,209,206,207,207,207,207,207,207,207,207,207,207,208,208,208,208,207,207,207,207,207,207,206,207,207,207,207,207,207,207,207,207,207,207,207,207,207,208,208,208,208,208,208,208,208,208,208,207,207,208,208,208,208,208,208,208,208,208,208,208,208,212,216,216,215,215,215,215,215,215,214,214,214,214,214,213,213,214,214,214,215,215,215,214,214,216,217,217,217,216,216,216,216,217,217,213,212,205,204,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,204,204,204,203,203,203,203,203,202,202,201,201,200,199,199,198,198,198,198,199,199,199,199,198,199,202,202,202,203,203,202,202,203,203,203,190,190,190,190,190,190,190,190,190,190,190,190,190,190,189,189,189,189,191,196,197,201,204,203,202,202,203,202,202,203,202,202,202,202,202,202,202,203,226,229,229,229,229,228,229,228,229,228,228,227,227,228,228,228,227,226,226,226,226,226,226,234,251,251,251,251,251,251,251,251,251,251,251,250,251,251,251,251,251,251,251,251,251,251,252,252,254,254,254,254,254,254,255,255,255,254,254,246,229,218,217,217,217,218,218,217,218,218,218,218,218,217,218,218,218,218,218,218,218,218,218,218,209,208,208,208,208,208,208,208,208,208
