Renewables 01/30/2024undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,-57,-57,-57,-57,-57,-57,-56,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-56,-57,-57,-53,-49,-50,-49,-44,-37,-33,-28,-23,-22,-22,-27,-33,-41,-43,-44,-47,-48,-47,-48,-51,-52,-53,-52,-39,-37,-38,-42,-45,-46,-46,-46,-46,-46,-46,-46,-46,-45,-44,-44,-44,-43,-42,-32,-14,44,150,305,581,894,1275,1767,2317,2905,3536,4160,4802,5519,6339,7016,7770,8418,9058,9690,10228,10784,11198,11498,11806,12116,12303,12395,12569,12741,13068,13235,13337,13461,13564,13703,13766,13726,13728,13640,13692,13743,13531,13566,13756,13696,13364,13085,13063,12956,13038,13117,13090,13084,12982,12910,12917,13067,13155,13162,13286,13118,13159,13177,13118,13059,12936,12803,12876,13117,13410,13129,13001,13039,13017,12766,12749,12917,12871,12674,12596,12433,12221,12335,12139,12249,12551,12422,12305,11955,11626,11535,11601,11588,11304,11135,11041,11001,11057,10687,10365,10503,10301,9727,9429,8990,8607,8028,7598,7377,7088,6323,5502,4804,4412,3826,3108,2565,2072,1642,1201,900,662,457,268,162,76,38,8,-1,-3,-2,-1,1,1,0,1,-24,-20,-10,-11,-12,-10,-8,-6,-8,-7,-6,-7,-10,-13,-16,-18,-20,-20,-20,-20,-20,-20,-20,-20,-20,-22,-24,-25,-25,-25,-25,-23,-17,-15,-17,-20,-21,-20,-21,-21,-21,-22,-22,-22,-22,-22,-22,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-22,-22,-22,-23,-23,-33,-42,-43,-44,-47,-49
Wind,200,199,201,204,208,212,221,236,248,251,257,264,277,290,300,297,299,293,288,278,285,287,274,254,246,238,236,242,246,254,265,275,283,286,288,288,290,289,288,298,308,319,325,321,317,311,325,336,338,336,340,342,346,366,374,368,362,338,312,287,273,287,293,294,294,285,282,290,296,303,313,330,349,353,349,347,336,318,305,292,276,260,256,258,262,263,257,250,256,248,245,237,219,209,203,197,201,203,201,184,169,170,169,166,173,168,160,159,164,168,168,167,172,171,170,180,189,200,208,217,226,231,238,238,243,234,234,240,233,227,228,235,240,238,241,250,266,276,279,279,277,275,272,275,280,281,280,277,271,262,259,249,243,234,230,244,254,267,269,282,297,303,302,301,306,303,314,315,312,299,292,287,265,237,216,222,215,221,217,220,213,202,206,206,216,230,234,217,219,224,207,198,199,206,206,212,212,216,233,254,265,283,284,277,272,272,276,277,278,268,257,250,252,266,264,268,288,323,344,335,332,335,329,328,334,332,340,352,354,348,337,331,315,286,270,263,255,247,248,249,238,231,232,231,230,258,266,263,265,259,264,272,265,262,260,259,254,257,265,271,282,287,290,289,282,274,268,272,275,275,274,274,273,272,273,268,262,263,260,258,269,291,310,317,310,303,305,317
Geothermal,709,675,677,677,676,677,677,676,675,676,676,676,676,676,676,676,677,677,676,676,676,676,677,677,678,677,677,677,678,677,677,676,676,676,676,676,676,677,678,678,678,678,678,678,678,679,678,679,679,680,680,680,679,679,679,679,680,680,681,680,681,679,680,679,681,681,679,681,681,680,680,680,681,681,681,680,680,679,682,681,680,679,679,679,679,680,680,678,680,679,679,679,679,679,678,678,678,678,678,679,677,677,678,680,678,678,679,679,678,678,678,678,679,678,678,678,678,679,678,678,677,674,672,671,671,672,672,671,671,672,677,677,677,677,676,677,677,676,677,677,676,676,676,676,675,676,675,675,675,675,675,675,675,674,674,674,674,674,675,674,675,675,674,675,676,675,676,675,674,674,675,674,674,672,674,675,676,676,676,675,675,676,676,676,677,677,676,676,674,674,674,673,674,673,673,674,674,674,674,674,675,675,676,676,675,675,675,679,688,696,697,691,696,700,695,695,693,693,695,695,700,694,701,694,710,712,709,714,709,717,709,706,708,707,709,704,700,707,703,703,703,706,718,728,731,733,742,751,753,753,753,752,753,753,752,753,753,752,752,752,752,751,752,752,751,751,751,751,750,751,750,751,751,750,750,750,750,748,747,748,747,749,749,749,749,749,749,748
Biomass,242,243,241,241,240,240,242,243,241,241,243,242,242,243,241,242,245,245,245,245,245,244,245,246,249,247,244,247,250,248,247,249,252,247,246,246,248,248,252,253,253,252,253,253,256,254,255,256,256,257,258,262,262,262,259,261,262,263,268,267,266,263,265,266,271,273,271,270,267,270,269,267,270,276,276,279,272,273,274,275,276,276,276,275,267,268,263,265,264,267,268,266,265,267,267,268,268,267,265,265,265,266,266,263,257,258,257,259,256,253,253,251,251,251,255,260,257,255,259,261,258,257,258,261,260,262,264,264,265,259,258,257,258,256,258,257,259,260,259,253,253,253,255,254,257,260,259,259,257,257,256,258,262,261,262,260,260,262,260,260,260,259,261,261,260,260,260,259,263,262,261,261,262,261,261,261,261,262,259,259,257,257,257,257,260,262,261,262,263,263,262,262,262,262,261,263,264,265,266,266,267,265,263,263,265,262,262,260,260,262,262,263,264,263,263,263,262,262,264,263,263,263,261,264,265,264,263,261,261,266,266,266,264,265,266,264,262,264,266,267,266,270,270,269,269,269,270,270,271,268,268,269,269,267,265,265,266,268,267,265,266,263,263,263,263,256,252,251,251,251,250,251,250,250,250,249,249,251,248,246,246,247,246,246,246,247,248,248
Biogas,192,194,196,196,197,197,197,197,197,197,197,197,197,197,197,197,196,196,197,197,196,197,197,197,197,197,197,197,198,198,198,198,198,198,198,198,197,198,198,198,197,198,198,198,198,197,198,198,198,198,198,198,198,198,197,197,197,197,197,197,197,196,197,196,196,195,195,195,195,195,195,195,194,195,195,195,195,196,196,196,198,198,198,197,197,198,198,197,197,197,197,197,197,197,197,197,196,195,195,196,195,196,196,196,196,196,196,196,196,196,196,196,196,196,196,197,196,197,197,197,197,196,196,196,196,196,195,195,196,196,196,196,196,196,196,196,197,196,196,196,196,196,197,197,197,199,199,199,199,199,198,198,199,199,198,196,195,195,195,195,194,194,186,179,182,182,182,193,197,197,197,197,197,197,197,194,191,191,193,196,196,196,196,196,196,196,196,196,196,196,195,195,196,196,196,196,197,197,197,197,197,197,198,197,197,198,198,198,198,198,198,198,198,197,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,199,198,199,198,198,198,199,199,198,198,198,198,198,199,199,200,200,200,200,200,200,200,200,200,200,201,200,200,200,201,201,200,200,200,199,199,199,199,199,199,199,199,198,199,199,199,199,199,200,199,199,199,199,199,199,200,200,200
Small hydro,225,227,229,228,228,227,227,227,227,227,227,227,227,227,228,227,228,228,228,227,227,227,227,228,228,228,228,228,228,228,228,228,228,228,228,228,228,226,224,224,224,224,223,223,224,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,258,260,260,260,261,261,261,261,261,260,261,259,259,259,258,259,259,259,259,259,260,260,260,254,253,253,252,252,252,252,252,253,252,252,252,252,253,253,253,253,253,252,252,251,252,252,252,244,216,215,215,215,215,215,215,215,215,215,215,215,215,216,216,216,217,216,217,217,216,216,216,216,217,217,217,217,217,217,214,212,212,215,218,218,216,216,216,215,215,215,215,216,215,215,215,215,215,215,215,216,216,216,216,216,216,216,215,216,215,215,215,215,214,214,214,214,215,214,213,216,220,222,222,223,223,224,224,223,223,223,224,225,239,239,239,240,239,239,240,240,240,239,240,244,260,260,260,261,261,262,262,261,260,260,261,260,260,261,261,261,261,261,261,261,261,261,261,261,262,261,261,261,261,261,261,261,261,260,261,261,262,262,261,261,261,261,261,261,261,260,260,260,261,261,260,260,260,260,259,259,260,260,261,256,239,239,238,238,238,237,238,239,238,238,239,238,223,222,221,221,221,221,222,222,221,222
